"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","C_AGE","C_AGE_NAME","C_AGE_CODE","C_AGE_TYPE","C_AGE_TYPECODE","C_AGE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2018","2018","2018","date",0,0,"1254252436","E00159790","E00159790","2011 output areas",299,0,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",287,"A","Normal Value","F","Free (free for publication)","Nm-2007d1d32288e0d1254252436d0d200d20100",0,5064
"2018","2018","2018","date",0,0,"1254252436","E00159790","E00159790","2011 output areas",299,0,"0","Total","0","Sex",1000,0,"201","Aged 0 to 15","201","Labour Market category",5000,1,"20100","Value",54,"A","Normal Value","F","Free (free for publication)","Nm-2007d1d32288e0d1254252436d0d201d20100",1,5064
"2018","2018","2018","date",0,0,"1254252436","E00159790","E00159790","2011 output areas",299,0,"0","Total","0","Sex",1000,0,"202","Aged 16+","202","Labour Market category",5000,2,"20100","Value",233,"A","Normal Value","F","Free (free for publication)","Nm-2007d1d32288e0d1254252436d0d202d20100",2,5064
"2018","2018","2018","date",0,0,"1254252436","E00159790","E00159790","2011 output areas",299,0,"0","Total","0","Sex",1000,0,"203","Aged 16 to 64","203","Labour Market category",5000,3,"20100","Value",174,"A","Normal Value","F","Free (free for publication)","Nm-2007d1d32288e0d1254252436d0d203d20100",3,5064
"2018","2018","2018","date",0,0,"1254252436","E00159790","E00159790","2011 output areas",299,0,"0","Total","0","Sex",1000,0,"250","Aged 16 to 24","250","Labour Market category",5000,4,"20100","Value",21,"A","Normal Value","F","Free (free for publication)","Nm-2007d1d32288e0d1254252436d0d204a205d20100",4,5064
"2018","2018","2018","date",0,0,"1254252436","E00159790","E00159790","2011 output areas",299,0,"0","Total","0","Sex",1000,0,"207","Aged 25 to 49","207","Labour Market category",5000,5,"20100","Value",87,"A","Normal Value","F","Free (free for publication)","Nm-2007d1d32288e0d1254252436d0d207d20100",5,5064
"2018","2018","2018","date",0,0,"1254252436","E00159790","E00159790","2011 output areas",299,0,"0","Total","0","Sex",1000,0,"208","Aged 50 to 64","208","Labour Market category",5000,6,"20100","Value",66,"A","Normal Value","F","Free (free for publication)","Nm-2007d1d32288e0d1254252436d0d208d20100",6,5064
"2018","2018","2018","date",0,0,"1254252436","E00159790","E00159790","2011 output areas",299,0,"0","Total","0","Sex",1000,0,"209","Aged 65+","209","Labour Market category",5000,7,"20100","Value",59,"A","Normal Value","F","Free (free for publication)","Nm-2007d1d32288e0d1254252436d0d209d20100",7,5064
"2018","2018","2018","date",0,0,"1254252436","E00159790","E00159790","2011 output areas",299,0,"1","Male","1","Sex",1000,1,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",138,"A","Normal Value","F","Free (free for publication)","Nm-2007d1d32288e0d1254252436d1d200d20100",8,5064
"2018","2018","2018","date",0,0,"1254252436","E00159790","E00159790","2011 output areas",299,0,"1","Male","1","Sex",1000,1,"201","Aged 0 to 15","201","Labour Market category",5000,1,"20100","Value",28,"A","Normal Value","F","Free (free for publication)","Nm-2007d1d32288e0d1254252436d1d201d20100",9,5064
